DESCRICAO                                              NAME                                                   
P50 da Prega Cutânea do Tríceps                        mdP50PCT                                               
P50 da Área Muscular do Braço                          mdP50AMB                                               
P50 do Perímetro Cefálico                              mdP50PC                                                
P50 do Índice de Massa Corporal p/Idade (Adolesc.)     mdP50IMCA                                              
Partes Amputadas do Corpo                              mdPartesAmputadas                                      
Percentil da Circunferência Muscular do Braço          mdDiagCMB                                              
Percentil da Circunferência do Braço                   mdDiagCB                                               
Percentil da Prega Cutânea do Tríceps                  mdDiagPCT                                              
Percentil da Área Muscular do Braço                    mdDiagAMB                                              
Percentil do IMC para Sexo e Idade                     mdDiagIMCA                                             
Percentil do Perímetro Cefálico                        mdDiagPC                                               
Perímetro Cefálico                                     mdPerimetroCefalico                                    
Perímetro Torácico                                     mdPerimetroToracico                                    
Peso Atual                                             mdPeso                                                 
Peso Desejável                                         mdPesoDesejavel                                        
Peso Desejável Pelo Cálculo Simplificado Fator 1       mdPDCSFator1                                           
Peso Desejável pelo Cálculo Simplificado               mdPDCS                                                 
Peso Desejável pelo Cálculo Simplificado Fator 2       mdPDCSFator2                                           
Peso Desejável pelo Cálculo Simplificado Válido        mdvlprPDCS                                             
Peso Desejável por IMC                                 mdPDIMC                                                
Peso Desejável por IMC Válido                          mdvlprPDIMC                                            
Peso Desejável por Metropolitan                        mdPDM                                                  
Peso Desejável por Metropolitan                        mdPDMDef                                               
Peso Desejável por Metropolitan Válido                 mdvlprPDM                                              
Peso Esperado                                          mdPesoEsperado                                         
Peso Esperado Adaptado                                 mdPesoEsperadoAdap                                     
Peso pré-gestacional                                   mdPesoPG                                               
Porcentagem de Gordura Corporal                        mdPGordura                                             
Possue Ascite                                          mdAscite                                               
Prega Cutânea Subescapular                             mdPSubescapular                                        
Prega Cutânea Suprailíaca                              mdPSuprailiaca                                         
Prega Cutânea do Bíceps                                mdPBiceps                                              
Prega Cutânea do Bíceps Válida (md)                    mdvlPBiceps                                            
Prega Cutânea do Tríceps                               mdPTriceps                                             
Prega Subescapular Válida                              mdvlPSubescapular                                      
Prega Suprailíaca Válida                               mdvlPSuprailiaca                                       
Prega do Tríceps Válida                                mdvlPTriceps                                           
RDA Valido                                             mdvlprRCRDA                                            
Recomendação Calórica para Pacientes Válida            mdvlprRCPac                                            
Recomendação Calórica pela FAO/OMS Válida              mdvlprRCFAODia                                         
Recomendação de Energia (FAO/OMS)                      mdRCFAODia                                             
Recomendação de Energia para Pacientes                 mdRCPac                                                
Recomendação de Energia pela RDA                       mdRCRDA                                                
Recomendação de Energia pela RDA p/ Peso Desejável     mdRCRDAdesejavel                                       
Relação Cintura/Quadril Válida                         mdvlprRCQ                                              
Relação Perímetro Cefálico/Perímetro Torácico          mdRPCPT                                                
Relação Peso Atual/Estatura da Gestante                mdRPEG                                                 
Relação Peso/Estatura da Gestante Válida               mdvlprRPEG                                             
Relação da Cintura pelo Quadril                        mdRCQ                                                  
Relação do Perímetro Cefálico/Torácico Válido          mdvlprRPCPT                                            
Semanas de gestação                                    mdTempoGestante                                        
Sexo                                                   mdSexo                                                 
Temperatura Corporal                                   mdTempCorpPac                                          
Tempo Gestante Válido                                  mdvlGestante                                           
Tempo Nutriz Válido                                    mdvlTempoNutriz                                        
